sample_index,y_value
0,0.46000000834465027
1,0.46000000834465027
2,0.46000000834465027
3,0.49000000953674316
4,0.4699999988079071
5,0.46000000834465027
6,0.4399999976158142
7,0.47999998927116394
8,0.46000000834465027
9,0.49000000953674316
10,0.4399999976158142
11,0.4699999988079071
12,0.5600000023841858
13,0.23999999463558197
14,0.49000000953674316
15,0.47999998927116394
16,0.46000000834465027
17,0.4699999988079071
18,0.47999998927116394
19,0.44999998807907104
20,0.49000000953674316
21,0.49000000953674316
22,0.47999998927116394
23,0.44999998807907104
24,0.44999998807907104
25,0.47999998927116394
26,0.4699999988079071
27,0.4699999988079071
28,0.49000000953674316
29,0.4399999976158142
30,0.47999998927116394
31,0.46000000834465027
32,0.44999998807907104
33,0.47999998927116394
34,0.4399999976158142
35,0.4399999976158142
36,0.6299999952316284
37,0.5400000214576721
38,0.5
39,0.49000000953674316
40,0.4399999976158142
41,0.44999998807907104
42,0.46000000834465027
43,0.4699999988079071
44,0.47999998927116394
45,0.46000000834465027
46,0.46000000834465027
47,0.4699999988079071
48,0.46000000834465027
49,0.46000000834465027
50,0.46000000834465027
51,0.4399999976158142
52,0.46000000834465027
53,0.4300000071525574
54,0.47999998927116394
55,0.49000000953674316
56,0.47999998927116394
57,0.44999998807907104
58,0.46000000834465027
59,0.23999999463558197
60,0.5199999809265137
61,0.47999998927116394
62,0.4399999976158142
63,0.44999998807907104
64,0.4699999988079071
65,0.46000000834465027
66,0.5
67,0.4699999988079071
68,0.44999998807907104
69,0.44999998807907104
70,0.47999998927116394
71,0.47999998927116394
72,0.44999998807907104
73,0.47999998927116394
74,0.46000000834465027
75,0.44999998807907104
76,0.47999998927116394
77,0.44999998807907104
78,0.4699999988079071
79,0.46000000834465027
80,0.4300000071525574
81,0.49000000953674316
82,0.44999998807907104
83,0.41999998688697815
84,0.6100000143051147
85,0.5
86,0.4399999976158142
87,0.46000000834465027
88,0.4699999988079071
89,0.44999998807907104
90,0.46000000834465027
91,0.4699999988079071
92,0.46000000834465027
93,0.44999998807907104
94,0.47999998927116394
95,0.4699999988079071
96,0.44999998807907104
97,0.46000000834465027
98,0.4399999976158142
99,0.47999998927116394
100,0.47999998927116394
101,0.46000000834465027
102,0.47999998927116394
103,0.4300000071525574
104,0.46000000834465027
105,0.4399999976158142
106,0.4699999988079071
107,0.550000011920929
108,0.47999998927116394
109,0.47999998927116394
110,0.4699999988079071
111,0.4699999988079071
112,0.4699999988079071
113,0.49000000953674316
114,0.4699999988079071
115,0.46000000834465027
116,0.4699999988079071
117,0.4699999988079071
118,0.4699999988079071
119,0.4699999988079071
120,0.44999998807907104
121,0.46000000834465027
122,0.46000000834465027
